,SITE_ID,LOCATION_LAT,LOCATION_LON,LOCATION_ELEV,MIN_DATE,MAX_DATE,SITE_NAME
68,CA-TP2,42.7744,-80.4588,212.0,200201010000,200712312330,Ontario - Turkey Point 1989 Plantation White Pine
69,CA-TP3,42.7068,-80.3483,184.0,200201010000,201712312330,Ontario - Turkey Point 1974 Plantation White Pine
70,CA-TP4,42.7102,-80.3574,184.0,200201010000,201412312330,Ontario - Turkey Point 1939 Plantation White Pine
71,CA-TPD,42.6353,-80.5577,260.0,201201010000,201712312330,Ontario - Turkey Point Mature Deciduous
72,CD-Ygb,0.814444,24.502472,466.0,202001010000,202212312330,
73,CG-Tch,-4.2892,11.6564,82.0,200601010000,200912312330,Tchizalamou
74,CH-Aws,46.583194,9.790417,,200601010000,202012312330,
75,CH-Cha,47.2102,8.4104,393.0,200501010000,202012312330,Chamau
76,CH-Dav,46.8153,9.8559,1639.0,199701010000,202212312330,Davos
77,CH-Fru,47.1158,8.5378,982.0,200501010000,202012312330,Früebüel
78,CH-Lae,47.4783,8.3644,689.0,200401010000,202012312330,Laegern
79,CH-Oe1,47.2858,7.7319,450.0,200201010000,200812312330,Oensingen grassland
80,CH-Oe2,47.2864,7.7337,452.0,200401010000,202012312330,Oensingen crop
81,CN-Cha,42.4025,128.0958,,200301010000,200512312330,Changbaishan
82,CN-Cng,44.5934,123.5092,,200701010000,201012312330,Changling
83,CN-Dan,30.4978,91.0664,,200401010000,200512312330,Dangxiong
84,CN-Din,23.1733,112.5361,,200301010000,200512312330,Dinghushan
85,CN-Du2,42.0467,116.2836,,200601010000,200812312330,Duolun_grassland (D01)
86,CN-Du3,42.0551,116.2809,,200901010000,201012312330,Duolun Degraded Meadow
87,CN-Ha2,37.6086,101.3269,,200301010000,200512312330,Haibei Shrubland
88,CN-HaM,37.37,101.18,,200201010000,200412312330,Haibei Alpine Tibet site
89,CN-Hgu,32.8453,102.59,3500.0,201505162330,201712312230,Hongyuan
90,CN-Qia,26.7414,115.0581,,200301010000,200512312330,Qianyanzhou
91,CN-Sw2,41.7902,111.8971,,201001010000,201212312330,Siziwang Grazed (SZWG)
92,CZ-BK1,49.502075,18.536882,875.0,200401010000,202212312330,Bily Kriz forest
93,CZ-BK2,49.4944,18.5429,855.0,200401010000,201212312330,Bily Kriz grassland
94,CZ-KrP,49.573257,15.078773,,201401010000,202012312330,
95,CZ-Lnz,48.68155,16.946331,150.0,201501010000,202212312330,
96,CZ-RAJ,49.4437236,16.6965125,,201201010000,202012312330,
97,CZ-Stn,49.035975,17.9699,,201001010000,202012312330,
98,CZ-wet,49.02465,14.77035,426.0,200601010000,202212312330,Trebon (CZECHWET)
99,DE-Akm,53.8662,13.6834,-1.0,200901010000,202012312330,Anklam
100,DE-Dgw,53.1514,13.0543,60.0,201501010000,201812312300,Dagowsee
101,DE-Geb,51.09973,10.91463,161.5,200101010000,202212312330,Gebesee
102,DE-Gri,50.95004,13.51259,385.0,200401010000,202212312330,Grillenburg
103,DE-Hai,51.079407,10.452089,438.7,200001010000,202212312330,Hainich
104,DE-Har,47.933,7.5981,201.0,202001010000,202212312330,
105,DE-HoH,52.085306,11.222233,239.0,201501010000,202212312330,
106,DE-Hte,54.2103,12.1761,0.2,201012312330,201812312300,Huetelmoor
107,DE-Hzd,50.96381,13.48978,395.0,201001010000,202012312330,
108,DE-Kli,50.89306,13.52238,478.0,200401010000,202212312330,Klingenberg
109,DE-Lkb,49.0996,13.3047,1308.0,200901010000,201312312330,Lackenberg
110,DE-Lnf,51.3282,10.3678,451.0,200201010000,201212312330,Leinefelde
111,DE-Msr,47.809181,11.456168,602.07,202001010000,202212312330,
112,DE-Obe,50.7867,13.7213,734.0,200801010000,202012312330,Oberbärenburg
113,DE-RuR,50.621914,6.304126,514.7,201101010000,202212312330,Rollesbroich
114,DE-RuS,50.865906,6.4471445,103.2,201101010000,202212312330,Selhausen Juelich
115,DE-RuW,50.50493,6.3309627,610.0,201201010000,202212312330,
116,DE-Seh,50.8706,6.4497,103.0,200701010000,201012312330,Selhausen
117,DE-SfN,47.8064,11.3275,590.0,201201010000,201412312330,Schechenfilz Nord
118,DE-Spw,51.8922,14.0337,61.0,201001010000,201412312330,Spreewald
119,DE-Tha,50.96256,13.56515,380.0,199601010000,202212312330,Tharandt
120,DE-Zrk,53.8759,12.889,0.0,201301010000,201812312300,Zarnekow
121,DK-Eng,55.6905,12.1918,10.0,200501010000,200812312330,Enghave
122,DK-Fou,56.4842,9.5872,51.0,200501010000,200512312330,Foulum
123,DK-Gds,56.0737,9.3341,86.0,202001010000,202212312330,
